_m,n_all,imp,wor,n_dir,disag_A,disag_B
1912-02,4,4,0,4,0.0,0.0
1912-03,4,4,0,4,0.0,0.0
1912-04,10,9,1,10,0.19999999999999996,0.19999999999999996
1912-05,24,19,5,24,0.41666666666666674,0.41666666666666674
1912-06,16,13,1,14,0.375,0.1428571428571428
1912-07,17,17,0,17,0.0,0.0
1912-08,17,16,1,17,0.11764705882352944,0.11764705882352944
1912-09,25,22,3,25,0.24,0.24
1912-10,33,26,7,33,0.4242424242424243,0.4242424242424243
1912-11,28,18,8,26,0.7142857142857142,0.6153846153846154
1912-12,16,13,3,16,0.375,0.375
1913-01,17,16,1,17,0.11764705882352944,0.11764705882352944
1913-02,9,4,2,6,0.8888888888888888,0.6666666666666667
1913-03,7,3,3,6,0.8571428571428571,1.0
1913-04,11,5,3,8,0.9090909090909091,0.75
1913-05,14,10,1,11,0.5714285714285714,0.18181818181818188
1913-06,17,13,1,14,0.47058823529411775,0.1428571428571428
1913-07,21,13,4,17,0.7619047619047619,0.47058823529411775
1913-08,19,16,0,16,0.3157894736842106,0.0
1913-09,28,22,1,23,0.4285714285714286,0.08695652173913038
1913-10,17,9,4,13,0.9411764705882353,0.6153846153846154
1913-11,16,8,5,13,1.0,0.7692307692307692
1913-12,39,33,5,38,0.3076923076923077,0.26315789473684204
1914-01,48,37,1,38,0.45833333333333326,0.05263157894736836
1914-02,26,20,1,21,0.46153846153846145,0.09523809523809534
1914-03,25,18,4,22,0.56,0.36363636363636354
1914-04,37,24,7,31,0.7027027027027026,0.4516129032258065
1914-05,22,20,0,20,0.18181818181818188,0.0
1914-06,26,21,2,23,0.3846153846153846,0.17391304347826098
1914-07,33,24,4,28,0.5454545454545454,0.2857142857142858
1914-08,34,25,5,30,0.5294117647058822,0.33333333333333326
1914-09,33,30,2,32,0.18181818181818188,0.125
1914-10,32,26,3,29,0.375,0.2068965517241379
1914-11,20,15,2,17,0.5,0.23529411764705888
1914-12,26,25,0,25,0.07692307692307687,0.0
1915-01,45,37,2,39,0.3555555555555556,0.10256410256410264
1915-02,20,13,4,17,0.7,0.47058823529411775
1915-03,18,14,1,15,0.4444444444444444,0.1333333333333333
1915-04,33,25,1,26,0.48484848484848486,0.07692307692307687
1915-05,31,21,6,27,0.6451612903225807,0.4444444444444444
1915-06,15,11,0,11,0.5333333333333334,0.0
1915-07,7,5,2,7,0.5714285714285714,0.5714285714285714
1915-08,39,29,3,32,0.5128205128205128,0.1875
1915-09,21,14,2,16,0.6666666666666667,0.25
1915-10,17,11,1,12,0.7058823529411764,0.16666666666666674
1915-11,13,10,1,11,0.46153846153846145,0.18181818181818188
1915-12,23,13,9,22,0.8695652173913044,0.8181818181818181
1916-01,25,16,2,18,0.72,0.22222222222222232
1916-02,8,5,1,6,0.75,0.33333333333333326
1916-03,22,12,5,17,0.9090909090909092,0.588235294117647
1916-04,13,9,3,12,0.6153846153846154,0.5
1916-05,14,5,4,9,0.7142857142857143,0.8888888888888888
1916-06,22,9,5,14,0.8181818181818182,0.7142857142857142
1916-07,14,9,3,12,0.7142857142857142,0.5
1916-08,10,1,4,5,0.19999999999999996,0.4
1916-09,9,6,0,6,0.6666666666666667,0.0
1916-10,19,11,4,15,0.8421052631578947,0.5333333333333334
1916-11,17,7,4,11,0.8235294117647058,0.7272727272727273
1916-12,26,18,4,22,0.6153846153846154,0.36363636363636354
1917-01,32,14,12,26,0.875,0.9230769230769231
1917-02,22,12,5,17,0.9090909090909092,0.588235294117647
1917-03,26,10,3,13,0.7692307692307693,0.46153846153846145
1917-04,16,11,2,13,0.625,0.3076923076923077
1917-05,28,19,3,22,0.6428571428571428,0.2727272727272727
1917-06,29,9,12,21,0.6206896551724138,0.8571428571428571
1917-07,17,11,1,12,0.7058823529411764,0.16666666666666674
1917-08,17,10,3,13,0.8235294117647058,0.46153846153846145
1917-09,21,10,2,12,0.9523809523809523,0.33333333333333326
1917-10,15,10,2,12,0.6666666666666667,0.33333333333333326
1917-11,24,14,6,20,0.8333333333333333,0.6000000000000001
1917-12,18,5,9,14,0.5555555555555556,0.7142857142857143
1918-01,35,26,3,29,0.5142857142857142,0.2068965517241379
1918-02,13,9,1,10,0.6153846153846154,0.19999999999999996
1918-03,15,9,2,11,0.8,0.36363636363636354
1918-04,24,17,0,17,0.5833333333333333,0.0
1918-05,9,6,0,6,0.6666666666666667,0.0
1918-06,24,9,6,15,0.75,0.8
1918-07,31,21,4,25,0.6451612903225807,0.32000000000000006
1918-08,14,5,5,10,0.7142857142857143,1.0
1918-09,15,12,0,12,0.3999999999999999,0.0
1918-10,20,11,3,14,0.8999999999999999,0.4285714285714286
1918-11,35,20,7,27,0.8571428571428572,0.5185185185185186
1918-12,32,14,1,15,0.875,0.1333333333333333
1919-01,18,11,2,13,0.7777777777777777,0.3076923076923077
1919-02,30,22,2,24,0.5333333333333334,0.16666666666666674
1919-03,28,12,6,18,0.8571428571428571,0.6666666666666667
1919-04,37,24,4,28,0.7027027027027026,0.2857142857142858
1919-05,37,17,7,24,0.918918918918919,0.5833333333333333
1919-06,18,10,3,13,0.8888888888888888,0.46153846153846145
1919-07,38,13,5,18,0.6842105263157895,0.5555555555555556
1919-08,33,8,9,17,0.48484848484848486,0.9411764705882353
1919-09,28,9,5,14,0.6428571428571429,0.7142857142857142
1919-10,37,14,7,21,0.7567567567567568,0.6666666666666667
1919-11,17,5,6,11,0.5882352941176471,0.9090909090909091
1919-12,34,13,8,21,0.7647058823529411,0.7619047619047619
1920-01,32,12,14,26,0.75,0.9230769230769231
1920-02,38,14,12,26,0.7368421052631579,0.9230769230769231
1920-03,40,20,9,29,1.0,0.6206896551724137
1920-04,24,6,8,14,0.5,0.8571428571428571
1920-05,30,12,7,19,0.8,0.736842105263158
1920-06,33,15,7,22,0.9090909090909091,0.6363636363636365
1920-07,32,21,6,27,0.6875,0.4444444444444444
1920-08,28,12,8,20,0.8571428571428571,0.8
1920-09,26,14,4,18,0.9230769230769231,0.4444444444444444
1920-10,25,14,5,19,0.8799999999999999,0.5263157894736843
1920-11,25,16,4,20,0.72,0.3999999999999999
1920-12,52,35,6,41,0.6538461538461537,0.29268292682926833
1921-01,33,22,3,25,0.6666666666666667,0.24
1921-02,21,12,2,14,0.8571428571428572,0.2857142857142858
1921-03,25,13,9,22,0.96,0.8181818181818181
1921-04,23,17,3,20,0.5217391304347827,0.30000000000000004
1921-05,25,17,4,21,0.6399999999999999,0.38095238095238093
1921-06,37,19,8,27,0.972972972972973,0.5925925925925926
1921-07,33,16,9,25,0.9696969696969697,0.72
1921-08,22,13,2,15,0.8181818181818181,0.2666666666666666
1921-09,18,11,2,13,0.7777777777777777,0.3076923076923077
1921-10,14,7,2,9,1.0,0.4444444444444444
1921-11,18,14,2,16,0.4444444444444444,0.25
1921-12,32,25,2,27,0.4375,0.14814814814814814
1922-01,39,29,8,37,0.5128205128205128,0.43243243243243246
1922-02,32,24,2,26,0.5,0.15384615384615374
1922-03,33,25,4,29,0.48484848484848486,0.27586206896551735
1922-04,19,17,0,17,0.21052631578947367,0.0
1922-05,17,14,1,15,0.3529411764705883,0.1333333333333333
1922-06,29,23,0,23,0.4137931034482758,0.0
1922-07,29,19,3,22,0.6896551724137931,0.2727272727272727
1922-08,22,14,2,16,0.7272727272727273,0.25
1922-09,27,15,3,18,0.8888888888888888,0.33333333333333326
1922-10,29,23,0,23,0.4137931034482758,0.0
1922-11,17,15,0,15,0.23529411764705888,0.0
1922-12,35,29,2,31,0.34285714285714275,0.12903225806451624
1923-01,32,15,7,22,0.9375,0.6363636363636365
1923-02,40,33,1,34,0.3500000000000001,0.05882352941176472
1923-03,29,12,3,15,0.8275862068965517,0.3999999999999999
1923-04,23,12,7,19,0.9565217391304348,0.736842105263158
1923-05,29,15,3,18,0.9655172413793103,0.33333333333333326
1923-06,21,18,1,19,0.2857142857142858,0.10526315789473695
1923-07,36,22,6,28,0.7777777777777777,0.4285714285714286
1923-08,28,22,0,22,0.4285714285714286,0.0
1923-09,12,10,0,10,0.33333333333333326,0.0
1923-10,29,17,5,22,0.8275862068965518,0.4545454545454546
1923-11,15,10,1,11,0.6666666666666667,0.18181818181818188
1923-12,38,30,3,33,0.42105263157894735,0.18181818181818188
1924-01,21,16,3,19,0.4761904761904763,0.3157894736842106
1924-02,26,16,4,20,0.7692307692307692,0.3999999999999999
1924-03,22,13,4,17,0.8181818181818181,0.47058823529411775
1924-04,15,9,2,11,0.8,0.36363636363636354
1924-05,23,18,2,20,0.4347826086956521,0.19999999999999996
1924-06,20,10,6,16,1.0,0.75
1924-07,22,16,1,17,0.5454545454545454,0.11764705882352944
1924-08,22,14,2,16,0.7272727272727273,0.25
1924-09,12,10,1,11,0.33333333333333326,0.18181818181818188
1924-10,9,6,1,7,0.6666666666666667,0.2857142857142858
1924-11,25,20,1,21,0.3999999999999999,0.09523809523809534
1924-12,27,20,2,22,0.5185185185185186,0.18181818181818188
1925-01,33,21,5,26,0.7272727272727273,0.3846153846153846
1925-02,33,21,4,25,0.7272727272727273,0.32000000000000006
1925-03,29,13,3,16,0.896551724137931,0.375
1925-04,32,19,4,23,0.8125,0.34782608695652173
1925-05,19,14,0,14,0.5263157894736843,0.0
1925-06,24,15,4,19,0.75,0.42105263157894735
1925-07,29,18,0,18,0.7586206896551724,0.0
1925-08,23,17,2,19,0.5217391304347827,0.21052631578947367
1925-09,18,12,1,13,0.6666666666666667,0.15384615384615374
1925-10,18,13,1,14,0.5555555555555556,0.1428571428571428
1925-11,20,15,3,18,0.5,0.33333333333333326
1925-12,17,10,3,13,0.8235294117647058,0.46153846153846145
1926-01,34,28,2,30,0.3529411764705883,0.1333333333333333
1926-02,19,15,2,17,0.42105263157894735,0.23529411764705888
1926-03,23,16,4,20,0.6086956521739131,0.3999999999999999
1926-04,24,19,1,20,0.41666666666666674,0.10000000000000009
