claim_id,episode,kind,publisher,state,date,search_term,page_url,quote
32,1913 Recession,crisis,"atlanta georgian (atlanta, ga.) 1912-1939",georgia,1913-11-11,business depression,http://www.loc.gov/resource/sn89053729/1913-11-11/ed-6/?sp=18,"The country should not be rushed into a measure which is undemocratic in principle and which will not inure to the benefit of the people, as we were rushed into a measure of tariff reduction which opened our markets to the products of foreign countries without opening foreign markets to the products of our country."
33,1913 Recession,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1914-01-14,business outlook,http://www.loc.gov/resource/sn86069675/1914-01-14/ed-1/?sp=2,"IAX& UUrMUA.(acsjtatc 10 express iucu What is the business outlook for the year on which we are just entering Former Republi can oSce-bolders tell us that things are gloomv, for the simple reason that prosperity and a Democratic Administration can not go together."
34,1913 Recession,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1914-01-14,business outlook,http://www.loc.gov/resource/sn86069675/1914-01-14/ed-1/?sp=2,"Of course, the sooner the people learn that neither party can feed the people, the better off they will be, and the nearer they wiH be to the ccoaomistic facts."
35,1913 Recession,crisis,"the mt. sterling advocate (mt. sterling, ky.) 1890-current",kentucky,1914-01-14,business outlook,http://www.loc.gov/resource/sn86069675/1914-01-14/ed-1/?sp=2,"convicted, but no guilty man j Tjt a bottle of Vlnol with the un- ject of national business and in dustry, prints the following edi torial on the business outlook."
36,1913 Recession,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1914-01-21,business outlook,http://www.loc.gov/resource/sn83045433/1914-01-21/ed-1/?sp=6,REDHELD IS HOPEFUL OF BUSINESS OUTLOOK Says Mr.
37,1913 Recession,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1914-01-21,business outlook,http://www.loc.gov/resource/sn83045433/1914-01-21/ed-1/?sp=6,"SEES PERMANENT PROSPERITY Secretary Redfleld, of the Department of Commerce, took a hopeful view of the business outlook, and In an Interview given to The Washington Herald de clared that the President's message proved that the President Is In line with the best business thought of the coun try and has outlined a policy which will Improve business conditions, restore pop ular confidence In business, and lead to a permanent prosperity."
38,1913 Recession,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1914-01-21,business outlook,http://www.loc.gov/resource/sn83045433/1914-01-21/ed-1/?sp=6,"One of the strongest Indications of business expansion, he said, was the movement among American manufacturers looking to the enlargement of their export trade Secretary Redfleld said: \""I am sure that the spirit of the Presi dent's message read to Congress today will strike a responsive chord In busi ness circles all over the land."
39,1913 Recession,crisis,"the san juan islander (friday harbor, wash.) 1898-1914",washington,1914-02-06,business outlook,http://www.loc.gov/resource/sn88085190/1914-02-06/ed-1/?sp=3,"Perham, president of the Order of Railroad Telegraphers, told the boose commit tee on commerce at a hearing on bills to limit the trainmen to 16 consecutive boon a day and telegraph and tele phone operators to eight Industrial Leaders Say Business Outlook Good Chicago\u2014Business conditions in Chi cago and throughout the country are decidedly better than they were a short time ago."
40,1913 Recession,crisis,"the san juan islander (friday harbor, wash.) 1898-1914",washington,1914-02-06,business outlook,http://www.loc.gov/resource/sn88085190/1914-02-06/ed-1/?sp=3,"The present looks like a good time to \""go ahead.\"" That, in brief, is a summary of the views expressed by prominent bank ers, manufacturers and merchants in terviewed."
41,1913 Recession,crisis,"the san juan islander (friday harbor, wash.) 1898-1914",washington,1914-02-06,business outlook,http://www.loc.gov/resource/sn88085190/1914-02-06/ed-1/?sp=3,"Coming inauguration of the new system of regional reserve banks, which will get the currency out of the way and which, its friends say, will diminish the chances of pan ics."
42,1913 Recession,crisis,"the san juan islander (friday harbor, wash.) 1898-1914",washington,1914-02-06,business outlook,http://www.loc.gov/resource/sn88085190/1914-02-06/ed-1/?sp=3,"Ogden Armour, who conducts one of the greatest business enterprises in the world, expressed satisfaction with the present business outlook."
43,1913 Recession,crisis,"the san juan islander (friday harbor, wash.) 1898-1914",washington,1914-02-06,business outlook,http://www.loc.gov/resource/sn88085190/1914-02-06/ed-1/?sp=3,"\""The business outlook is rosy, indeed,\"" said Mr."
44,1913 Recession,crisis,"the san juan islander (friday harbor, wash.) 1898-1914",washington,1914-02-06,business outlook,http://www.loc.gov/resource/sn88085190/1914-02-06/ed-1/?sp=3,"\""The manufacturers will be busy and money will be easy.\"" HAITIAN REBELLION GROWS; FOREIGN WARSHIPS GATHER Port Au Prince \u2014The revolutionary movement in Haiti is growing strong er daily."
45,1913 Recession,crisis,"the broad ax (salt lake city, utah;chicago, ill.) 1895-19??",illinois; utah,1914-01-24,business outlook,http://www.loc.gov/resource/sn84024055/1914-01-24/ed-1/?sp=1,"LETBRANDT, IS WELL PLEASED WITH THE FINANCIAL AND BUSINESS OUTLOOK FOR 1914."
46,1913 Recession,crisis,"the broad ax (salt lake city, utah;chicago, ill.) 1895-19??",illinois; utah,1914-01-24,business outlook,http://www.loc.gov/resource/sn84024055/1914-01-24/ed-1/?sp=1,"Leibrandt, is more than well pleased with the finan cial and business outlook for 1914."
47,1913 Recession,crisis,"the broad ax (salt lake city, utah;chicago, ill.) 1895-19??",illinois; utah,1914-01-24,business outlook,http://www.loc.gov/resource/sn84024055/1914-01-24/ed-1/?sp=1,"\""The progressive Democratic senti ment of the nation is at the helm of the government, and the coming cam paign in this state will be a contest between that sentiment and the reac tionary brand manifested in machine politics.\"" Mr."
48,1913 Recession,crisis,"the logan republican (logan, utah) 1902-1924",utah,1914-02-19,business outlook,http://www.loc.gov/resource/sn85058246/1914-02-19/ed-1/?sp=1,Some ot the other towns in the county carrying on an Illegal liquor business will be Investigated In the very near future.
49,1913 Recession,crisis,"the logan republican (logan, utah) 1902-1924",utah,1914-02-19,business outlook,http://www.loc.gov/resource/sn85058246/1914-02-19/ed-1/?sp=1,OPTIMISTIC OVER BUSINESS OUTLOOK Manager of Hardware Store Bejleves Logan Will Forge To the Front This 8ummer Manager W.
50,1913 Recession,crisis,"the logan republican (logan, utah) 1902-1924",utah,1914-02-19,business outlook,http://www.loc.gov/resource/sn85058246/1914-02-19/ed-1/?sp=1,Tho Ballard Camp of tho Daugh-iV- -T-ifisof tho Pioneers will meet on as to tho futuro business outlook ov er the country.
51,1913 Recession,crisis,"the logan republican (logan, utah) 1902-1924",utah,1914-02-19,business outlook,http://www.loc.gov/resource/sn85058246/1914-02-19/ed-1/?sp=1,"Sloan, I believe that Logan will have one of the most prosperous seasons in 1914 that she has ever had."
52,1913 Recession,crisis,"the dolores star (dolores, montezuma county, colo.) 1901-current",colorado,1913-09-19,business outlook,http://www.loc.gov/resource/sn86002159/1913-09-19/ed-1/?sp=4,"e s s s ss i T e\u2014 mm Send The Star to friends in e, the East PR R l The Business Outlook \u2018Thereis a class of like good old Aumt Mpa's sister, are constitutionally ped to gloom."
53,1913 Recession,crisis,"the dolores star (dolores, montezuma county, colo.) 1901-current",colorado,1913-09-19,business outlook,http://www.loc.gov/resource/sn86002159/1913-09-19/ed-1/?sp=4,"Our contemporary, the New York\u2018 Times, in a recent issue collated and presented an array of -mx;c-\u2018 concerning the business outlook which should reassnre all who bave indulged the apprehension that the\u2018 course of legislation in Congress might bave drawn its lnfornzion\u2018 from the best trade sources through ot the country, and all report bus iness good and steadily growing better."
54,1913 Recession,crisis,"the dolores star (dolores, montezuma county, colo.) 1901-current",colorado,1913-09-19,business outlook,http://www.loc.gov/resource/sn86002159/1913-09-19/ed-1/?sp=4,The textile trade outlook is excellent; the wcolen trade is reducing prices but not wages; the linen trade prospects are very good.
55,1913 Recession,crisis,"weekly journal-miner (prescott, ariz.) 1908-1929",arizona,1913-08-06,business outlook,http://www.loc.gov/resource/sn85032923/1913-08-06/ed-1/?sp=1,"OVER THE BUSINESS OUTLOOK AND PRESENT PROSPERITY EM Tonight's the night when the true attitude of Prescott's business men towards the advent of the Northern Arizona Fair Association and its purpose, an annual fair in this city will be made manifest."
56,1913 Recession,crisis,"weekly journal-miner (prescott, ariz.) 1908-1929",arizona,1913-08-06,business outlook,http://www.loc.gov/resource/sn85032923/1913-08-06/ed-1/?sp=1,"The Democrats and Republicans of the Senate fenced over prosperity and the business outlook and dis cussed the woolen schedules of the tariff bill at length, but made some progress today on the metal schedule."
57,1913 Recession,crisis,"weekly journal-miner (prescott, ariz.) 1908-1929",arizona,1913-08-06,business outlook,http://www.loc.gov/resource/sn85032923/1913-08-06/ed-1/?sp=1,Senator Stone of Missouri read into the record quotations from the manufacturers and merchants stating the industrial outlook was very fx vorable.
58,1913 Recession,crisis,"weekly journal-miner (prescott, ariz.) 1908-1929",arizona,1913-08-06,business outlook,http://www.loc.gov/resource/sn85032923/1913-08-06/ed-1/?sp=1,Senator Gal.linger expressed the assurance that the present pros perity was due to Republican poli cies and not the coming Democratic laws.
59,1913 Recession,crisis,"the virginia enterprise (virginia, st. louis county, minn.) 1893-19??",minnesota,1913-08-22,business outlook,http://www.loc.gov/resource/sn90059180/1913-08-22/ed-1/?sp=4,"We believe that the mater should be care\u00ad fully Considered by the county and township boards, and if deemed prac\u00ad tical, a start in- this direction made next spring wben new road work is undertaken."
60,1913 Recession,crisis,"the virginia enterprise (virginia, st. louis county, minn.) 1893-19??",minnesota,1913-08-22,business outlook,http://www.loc.gov/resource/sn90059180/1913-08-22/ed-1/?sp=4,'it WN HOSE WA TER/NG POTS HAMMOCKS BUSINESS OUTLOOK IN THE EAST IS OPTIMISTIC S.
61,1913 Recession,crisis,"the virginia enterprise (virginia, st. louis county, minn.) 1893-19??",minnesota,1913-08-22,business outlook,http://www.loc.gov/resource/sn90059180/1913-08-22/ed-1/?sp=4,"Lippman says that the business outlook in the east from the standpoint of the whole\u00ad salers is optimistic,-and the prospect of tariff revision seems to have no ef\u00ad fect on trade."
62,1913 Recession,crisis,"medford mail tribune (medford, oregon) 1909-1989",oregon,1913-10-24,business outlook,http://www.loc.gov/resource/sn97071090/1913-10-24/ed-1/?sp=1,"Gary, chairman of tho board of directors of tho stcol trust, declared ho be Moved tho business outlook to bo hopeful."
63,1913 Recession,crisis,"medford mail tribune (medford, oregon) 1909-1989",oregon,1913-10-24,business outlook,http://www.loc.gov/resource/sn97071090/1913-10-24/ed-1/?sp=1,Mulit will bo assigned to Oregon and southern Washington nnd Alberts is iiimlo ex aminer at large.
64,1913 Recession,crisis,"medford mail tribune (medford, oregon) 1909-1989",oregon,1913-10-24,business outlook,http://www.loc.gov/resource/sn97071090/1913-10-24/ed-1/?sp=1,BUSINESS OUTLOOK AYS JOG GA CURRENCY BILL IT Senate Committee Favors Aldrlch Plan of Central Bank Proposed by Vandersllp of Standard Oil Bank Wilson Firm for Regional Plan.
65,1913 Recession,crisis,"medford mail tribune (medford, oregon) 1909-1989",oregon,1913-10-24,business outlook,http://www.loc.gov/resource/sn97071090/1913-10-24/ed-1/?sp=1,"Trouble over the currency bill is ahead, if I'niled Stntes Sonnlor Hnslow of!"
66,1913 Recession,crisis,"saturday news (watertown, s.d.) 19??-19??",south dakota,1914-01-29,business outlook,http://www.loc.gov/resource/sn2001063549/1914-01-29/ed-1/?sp=1,"Cunningham Coming inauguration of the new sys-l *s a tem of regional reserve banks, which Kelsey,., wealthy, residents is counted on \""to make panics impos- apolis."
67,1913 Recession,crisis,"saturday news (watertown, s.d.) 19??-19??",south dakota,1914-01-29,business outlook,http://www.loc.gov/resource/sn2001063549/1914-01-29/ed-1/?sp=1,"of the greatest busitf^i,AnteririBes in1 'Why should I ..gWeve tfiyselfc to the world, expressed hi a satisfaction^ death over mevit-ablis*^ For^six with the present business outlook."
68,1913 Recession,crisis,"saturday news (watertown, s.d.) 19??-19??",south dakota,1914-01-29,business outlook,http://www.loc.gov/resource/sn2001063549/1914-01-29/ed-1/?sp=1,"I months I ha?I eaten my heart out with \""The business outlook is iosy, in- srief, had pleaded and begged almost deed,\"" said Mr."
69,1913 Recession,crisis,"saturday news (watertown, s.d.) 19??-19??",south dakota,1914-01-29,business outlook,http://www.loc.gov/resource/sn2001063549/1914-01-29/ed-1/?sp=1,"\""The ttianu-j my knees for him- to give her up lac.turers will be busy and money will daughter of Mr."
70,1913 Recession,crisis,"the alaska daily empire (juneau, alaska) 1912-1926",alaska,1914-02-03,business outlook,http://www.loc.gov/resource/sn84020657/1914-02-03/ed-1/?sp=2,Pugh's record at the head of the customs service in the North will amply justify the choice of the appointing power none who knows him doubts for a single moment.
71,1913 Recession,crisis,"the alaska daily empire (juneau, alaska) 1912-1926",alaska,1914-02-03,business outlook,http://www.loc.gov/resource/sn84020657/1914-02-03/ed-1/?sp=2,"THE opinion in the East is that the business outlook at the end of January is better than it was at the beginning of the month, notwithstanding that that it was optimistic then."
72,1913 Recession,crisis,"the alaska daily empire (juneau, alaska) 1912-1926",alaska,1914-02-03,business outlook,http://www.loc.gov/resource/sn84020657/1914-02-03/ed-1/?sp=2,It is conceded everywhere that sub stantial progress toward the good time coming has been made since the beginning of the year.
73,1913 Recession,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1913-12-12,business outlook,http://www.loc.gov/resource/sn83045433/1913-12-12/ed-1/?sp=9,"BUSINESS OUTLOOK IN SOLTTHLANDIS GOOD President Harrison, of Southern Rail way, Reports FaToraMe Conditions."
74,1913 Recession,crisis,"the washington herald (washington, d.c.) 1906-1939",district of columbia,1913-12-12,business outlook,http://www.loc.gov/resource/sn83045433/1913-12-12/ed-1/?sp=9,"President Harrison, of th Southern Railway Company, speaking yesterday of the business outlook In the South, said: \""Conditions throughout tho territory traversed by Southern Railway lines ore trenerauy favorable.."
75,1913 Recession,crisis,"the beatrice daily express (beatrice, neb.) 1884-1924",nebraska,1913-08-25,business outlook,http://www.loc.gov/resource/sn84020107/1913-08-25/ed-1/?sp=4,"business men of this section to get a real line of the business outlook and we think we can sensibly and Safely predict that things might be a great deal worse, and that on the whole the prospects tor business this 411 and winter,- taking the whole territory into consideration, are as good as last year.\u2014Omaha Trade Exhibit."
76,1913 Recession,crisis,"the beatrice daily express (beatrice, neb.) 1884-1924",nebraska,1913-08-25,business outlook,http://www.loc.gov/resource/sn84020107/1913-08-25/ed-1/?sp=4,Unless satisfactory overtures are made by the Huerta government by Tuesday President Wilson will pro claim in person In a message to congress the principle that constitu tional government alone can be recognized In Mexico.
77,1913 Recession,crisis,"imperial valley press (el centro, calif.) 1907-current",california,1914-01-28,business outlook,http://www.loc.gov/resource/sn92070146/1914-01-28/ed-1/?sp=2,"The present looks like a good time to \u201cgo ahead.\u201d i That, in brief, is a summary of the views expressed by a number of bank ers."
78,1913 Recession,crisis,"imperial valley press (el centro, calif.) 1907-current",california,1914-01-28,business outlook,http://www.loc.gov/resource/sn92070146/1914-01-28/ed-1/?sp=2,"Ogden Armour, who conducts one of the greatest business enterprises in the world, expressed his satisfaction with the present business outlook."
