source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1972-10-11,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-11-15,+1..+4Q,,,improve,,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1972-12-13,+1..+4Q,6.875000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1972
greenbook,fed_staff,general_business,1973-01-10,+1..+4Q,6.7,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-02-07,+1..+4Q,6.166666666666667,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-03-14,+1..+4Q,6.366666666666667,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-04-11,+1..+4Q,5.25,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-05-09,+1..+4Q,5.35,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-06-18,+1..+4Q,3.5500000000000003,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-07-11,+1..+4Q,2.075,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-08-15,+1..+4Q,1.75,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-09-12,+1..+4Q,1.8999999999999997,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-10-10,+1..+4Q,1.6249999999999998,improve,no_change,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-11-14,+1..+4Q,1.9500000000000002,improve,worsen,0.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1973-12-12,+1..+4Q,-1.225,worsen,worsen,1.0,gIP_1967_1984.xlsx,gIP,1973
greenbook,fed_staff,general_business,1974-01-16,+1..+4Q,0.2999999999999999,no_change,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-02-13,+1..+4Q,0.49999999999999994,no_change,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-03-13,+1..+4Q,1.0333333333333332,improve,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-04-10,+1..+4Q,3.625,improve,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-05-15,+1..+4Q,3.275,improve,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-06-12,+1..+4Q,2.7750000000000004,improve,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-07-10,+1..+4Q,2.1,improve,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-08-14,+1..+4Q,-1.025,worsen,worsen,1.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-09-04,+1..+4Q,-1.175,worsen,worsen,1.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-10-09,+1..+4Q,-1.05,worsen,worsen,1.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-11-13,+1..+4Q,-0.85,no_change,worsen,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1974-12-11,+1..+4Q,-1.3999999999999997,worsen,no_change,0.0,gIP_1967_1984.xlsx,gIP,1974
greenbook,fed_staff,general_business,1975-01-15,+1..+4Q,4.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-02-12,+1..+4Q,4.175000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-03-12,+1..+4Q,4.425000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-04-09,+1..+4Q,8.25,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-05-14,+1..+4Q,8.075000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-06-11,+1..+4Q,7.85,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-07-09,+1..+4Q,10.8,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-08-13,+1..+4Q,11.475000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-09-10,+1..+4Q,9.85,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-10-15,+1..+4Q,6.85,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-11-12,+1..+4Q,6.175000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1975-12-10,+1..+4Q,6.075,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1975
greenbook,fed_staff,general_business,1976-01-14,+1..+4Q,6.333333333333333,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-02-11,+1..+4Q,8.200000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-03-10,+1..+4Q,8.450000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-04-14,+1..+4Q,7.575,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-05-12,+1..+4Q,7.225,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-06-16,+1..+4Q,7.2250000000000005,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-07-14,+1..+4Q,6.425,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-08-11,+1..+4Q,6.2,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-09-15,+1..+4Q,8.75,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-10-13,+1..+4Q,7.175000000000001,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-11-10,+1..+4Q,6.1,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1976-12-15,+1..+4Q,7.3999999999999995,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1976
greenbook,fed_staff,general_business,1977-01-12,+1..+4Q,9.133333333333333,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-02-09,+1..+4Q,8.95,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-03-09,+1..+4Q,9.3,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-04-15,+1..+4Q,8.85,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-05-11,+1..+4Q,8.925,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-06-15,+1..+4Q,7.824999999999999,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-07-13,+1..+4Q,8.025,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-08-10,+1..+4Q,8.175,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-09-14,+1..+4Q,7.35,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-10-12,+1..+4Q,7.1,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-11-09,+1..+4Q,6.9,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1977-12-14,+1..+4Q,6.4750000000000005,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1977
greenbook,fed_staff,general_business,1978-01-11,+1..+4Q,7.4,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1978
greenbook,fed_staff,general_business,1978-02-22,+1..+4Q,7.875,improve,improve,1.0,gIP_1967_1984.xlsx,gIP,1978
