date,unemployment_rate,recession_flag,gdp_growth_yoy,cpi_inflation_yoy,consumer_sentiment,initial_claims
2008-04-03,4.9,0,2.133364682457861,4.142959270611968,69.5,368000
2008-04-04,4.9,0,2.133364682457861,4.142959270611968,69.5,368000
2008-04-05,4.9,0,2.133364682457861,4.142959270611968,69.5,387000
2008-04-06,4.9,0,2.133364682457861,4.142959270611968,69.5,387000
2008-04-07,4.9,0,2.133364682457861,4.142959270611968,69.5,387000
2008-04-08,4.9,0,2.133364682457861,4.142959270611968,69.5,387000
2008-04-09,4.9,0,2.133364682457861,4.142959270611968,69.5,387000
2008-04-10,4.9,0,2.133364682457861,4.142959270611968,69.5,387000
2008-04-11,4.9,0,2.133364682457861,4.142959270611968,69.5,387000
2008-04-12,4.9,0,2.133364682457861,4.142959270611968,69.5,354000
2008-04-13,4.9,0,2.133364682457861,4.142959270611968,69.5,354000
2008-04-14,4.9,0,2.133364682457861,4.142959270611968,69.5,354000
2008-04-15,5.1,0,2.133364682457861,3.9749035501344343,69.5,354000
2008-04-16,5.1,0,2.133364682457861,3.9749035501344343,69.5,354000
2008-04-17,5.1,0,2.133364682457861,3.9749035501344343,69.5,354000
2008-04-18,5.1,0,2.133364682457861,3.9749035501344343,69.5,354000
2008-04-19,5.1,0,2.133364682457861,3.9749035501344343,69.5,365000
2008-04-20,5.1,0,2.133364682457861,3.9749035501344343,69.5,365000
2008-04-21,5.1,0,2.133364682457861,3.9749035501344343,69.5,365000
2008-04-22,5.1,0,2.133364682457861,3.9749035501344343,69.5,365000
2008-04-23,5.1,0,2.133364682457861,3.9749035501344343,69.5,365000
2008-04-24,5.1,0,2.133364682457861,3.9749035501344343,69.5,365000
2008-04-25,5.1,0,2.133364682457861,3.9749035501344343,69.5,365000
2008-04-26,5.1,0,2.133364682457861,3.9749035501344343,69.5,349000
2008-04-27,5.1,0,2.133364682457861,3.9749035501344343,69.5,349000
2008-04-28,5.1,0,2.133364682457861,3.9749035501344343,69.5,349000
2008-04-29,5.1,0,2.133364682457861,3.9749035501344343,69.5,349000
2008-04-30,5.1,0,1.3924712055185307,3.9749035501344343,69.5,349000
2008-05-01,5.1,0,1.3924712055185307,3.9749035501344343,62.6,349000
2008-05-02,5.1,0,1.3924712055185307,3.9749035501344343,62.6,349000
2008-05-03,5.1,0,1.3924712055185307,3.9749035501344343,62.6,370000
2008-05-04,5.1,0,1.3924712055185307,3.9749035501344343,62.6,370000
2008-05-05,5.1,0,1.3924712055185307,3.9749035501344343,62.6,370000
