source,forecaster_id,variable_canonical,forecast_date,horizon_native,pred_growth,pred_direction,realized_direction,hit,source_file,variable_native,year
greenbook,fed_staff,general_business,1974-01-16,+1..+4Q,1.1333333333333333,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-02-13,+1..+4Q,1.2,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-03-13,+1..+4Q,1.3,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-04-10,+1..+4Q,2.75,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-05-15,+1..+4Q,2.475,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-06-12,+1..+4Q,1.6749999999999998,improve,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-07-10,+1..+4Q,0.9666666666666668,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-08-14,+1..+4Q,-0.8999999999999999,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-09-04,+1..+4Q,-0.825,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-10-09,+1..+4Q,-0.15000000000000002,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-11-13,+1..+4Q,-0.1250000000000001,no_change,worsen,0.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1974-12-11,+1..+4Q,-0.8,no_change,no_change,1.0,gRGDP_1967_1984.xlsx,gRGDP,1974
greenbook,fed_staff,general_business,1975-01-15,+1..+4Q,2.675,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-02-12,+1..+4Q,3.125,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-03-12,+1..+4Q,3.1750000000000003,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-04-09,+1..+4Q,5.7250000000000005,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-05-14,+1..+4Q,5.125,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-06-11,+1..+4Q,5.525,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-07-09,+1..+4Q,5.775,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-08-13,+1..+4Q,6.35,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-09-10,+1..+4Q,6.0249999999999995,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-10-15,+1..+4Q,4.675,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
greenbook,fed_staff,general_business,1975-11-12,+1..+4Q,4.775,improve,improve,1.0,gRGDP_1967_1984.xlsx,gRGDP,1975
