month,n_claims,n_directional,net_direction,share_worsen,share_improve,disagreement,hedge_rate,mean_horizon,share_named,share_expert,share_official,share_journalist,n_all_claims,n_pages,attention
1910-10,20.0,20.0,0.7,0.15,0.85,0.30000000000000004,0.4,6.0,0.5,0.45,0.05,0.45,44,29,151.72413793103448
1910-11,18.0,18.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666667,0.3333333333333333,12.0,0.3333333333333333,0.4444444444444444,0.0,0.4444444444444444,44,30,146.66666666666666
1910-12,38.0,34.0,0.35294117647058826,0.3235294117647059,0.6764705882352942,0.6470588235294117,0.34210526315789475,8.0,0.631578947368421,0.6578947368421053,0.02631578947368421,0.2894736842105263,68,30,226.66666666666666
1911-01,30.0,30.0,0.4666666666666667,0.26666666666666666,0.7333333333333333,0.5333333333333333,0.5666666666666667,10.666666666666666,0.5,0.6,0.0,0.36666666666666664,61,30,203.33333333333334
1911-02,24.0,23.0,0.8260869565217391,0.08695652173913043,0.9130434782608695,0.17391304347826086,0.20833333333333334,5.0,0.3333333333333333,0.3333333333333333,0.041666666666666664,0.5833333333333334,47,30,156.66666666666666
1911-03,13.0,12.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.33333333333333337,0.23076923076923078,6.0,0.46153846153846156,0.46153846153846156,0.0,0.46153846153846156,40,30,133.33333333333334
1911-04,25.0,24.0,0.75,0.125,0.875,0.25,0.28,9.0,0.28,0.6,0.0,0.32,49,29,168.9655172413793
1911-05,28.0,28.0,0.8571428571428571,0.07142857142857142,0.9285714285714286,0.1428571428571429,0.42857142857142855,9.0,0.39285714285714285,0.39285714285714285,0.0,0.6071428571428571,46,29,158.6206896551724
1911-06,7.0,7.0,0.7142857142857143,0.14285714285714285,0.8571428571428571,0.2857142857142857,0.2857142857142857,12.0,0.14285714285714285,0.2857142857142857,0.0,0.7142857142857143,28,25,112.0
1911-07,15.0,12.0,0.5,0.25,0.75,0.5,0.4666666666666667,6.0,0.4,0.4666666666666667,0.0,0.5333333333333333,57,29,196.55172413793105
1911-08,16.0,15.0,0.8666666666666667,0.06666666666666667,0.9333333333333333,0.1333333333333333,0.6875,60.0,0.5,0.5,0.0625,0.4375,60,30,200.0
1911-09,24.0,24.0,0.5833333333333334,0.20833333333333334,0.7916666666666666,0.41666666666666663,0.25,,0.4583333333333333,0.5,0.041666666666666664,0.4583333333333333,43,30,143.33333333333334
1911-10,12.0,12.0,0.8333333333333334,0.08333333333333333,0.9166666666666666,0.16666666666666663,0.5833333333333334,12.0,0.25,0.25,0.08333333333333333,0.6666666666666666,37,30,123.33333333333333
1911-11,13.0,13.0,-0.07692307692307693,0.5384615384615384,0.46153846153846156,0.9230769230769231,0.38461538461538464,,0.3076923076923077,0.5384615384615384,0.07692307692307693,0.3076923076923077,24,30,80.0
1911-12,32.0,31.0,0.8064516129032258,0.0967741935483871,0.9032258064516129,0.19354838709677424,0.34375,11.1,0.65625,0.6875,0.0625,0.25,63,28,225.0
1912-01,36.0,35.0,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.5714285714285714,0.3888888888888889,15.5,0.4444444444444444,0.5833333333333334,0.05555555555555555,0.3055555555555556,54,30,180.0
1912-02,7.0,6.0,1.0,0.0,1.0,0.0,0.42857142857142855,,0.2857142857142857,0.14285714285714285,0.0,0.8571428571428571,45,26,173.07692307692307
1912-03,8.0,8.0,0.25,0.375,0.625,0.75,0.375,8.666666666666666,0.0,0.0,0.0,0.75,25,27,92.5925925925926
1912-04,13.0,13.0,0.5384615384615384,0.23076923076923078,0.7692307692307693,0.46153846153846156,0.3076923076923077,,0.23076923076923078,0.23076923076923078,0.07692307692307693,0.6923076923076923,46,26,176.92307692307693
1912-05,33.0,33.0,0.45454545454545453,0.2727272727272727,0.7272727272727273,0.5454545454545454,0.36363636363636365,10.0,0.3939393939393939,0.42424242424242425,0.030303030303030304,0.36363636363636365,65,30,216.66666666666666
1912-06,18.0,15.0,0.7333333333333333,0.13333333333333333,0.8666666666666667,0.2666666666666667,0.16666666666666666,6.0,0.2777777777777778,0.3333333333333333,0.0,0.6666666666666666,37,28,132.14285714285714
1912-07,22.0,22.0,0.9090909090909091,0.045454545454545456,0.9545454545454546,0.09090909090909094,0.2727272727272727,9.0,0.18181818181818182,0.36363636363636365,0.045454545454545456,0.5909090909090909,41,30,136.66666666666666
1912-08,23.0,23.0,0.5652173913043478,0.21739130434782608,0.782608695652174,0.4347826086956522,0.391304347826087,9.0,0.391304347826087,0.4782608695652174,0.13043478260869565,0.391304347826087,59,26,226.92307692307693
1912-09,30.0,30.0,0.6666666666666666,0.16666666666666666,0.8333333333333334,0.33333333333333337,0.23333333333333334,8.571428571428571,0.5333333333333333,0.6,0.0,0.36666666666666664,49,27,181.4814814814815
1912-10,37.0,37.0,0.5135135135135135,0.24324324324324326,0.7567567567567568,0.4864864864864865,0.21621621621621623,6.0,0.32432432432432434,0.4864864864864865,0.0,0.4864864864864865,48,27,177.77777777777777
1912-11,42.0,40.0,0.35,0.325,0.675,0.65,0.35714285714285715,11.142857142857142,0.23809523809523808,0.40476190476190477,0.09523809523809523,0.5,69,29,237.93103448275863
1912-12,25.0,23.0,0.4782608695652174,0.2608695652173913,0.7391304347826086,0.5217391304347826,0.32,10.428571428571429,0.6,0.28,0.36,0.36,50,26,192.30769230769232
1913-01,17.0,17.0,0.8823529411764706,0.058823529411764705,0.9411764705882353,0.11764705882352944,0.11764705882352941,12.0,0.4117647058823529,0.6470588235294118,0.058823529411764705,0.23529411764705882,51,29,175.86206896551724
1913-02,9.0,8.0,0.25,0.375,0.625,0.75,0.2222222222222222,12.0,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333,32,30,106.66666666666667
1913-03,7.0,7.0,0.14285714285714285,0.42857142857142855,0.5714285714285714,0.8571428571428572,0.5714285714285714,,0.8571428571428571,0.7142857142857143,0.14285714285714285,0.14285714285714285,23,29,79.3103448275862
1913-04,12.0,11.0,0.45454545454545453,0.2727272727272727,0.7272727272727273,0.5454545454545454,0.4166666666666667,12.0,0.25,0.25,0.0,0.75,44,30,146.66666666666666
1913-05,15.0,15.0,0.7333333333333333,0.13333333333333333,0.8666666666666667,0.2666666666666667,0.26666666666666666,8.0,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,38,30,126.66666666666667
1913-06,18.0,18.0,0.7777777777777778,0.1111111111111111,0.8888888888888888,0.2222222222222222,0.4444444444444444,6.0,0.5,0.7222222222222222,0.05555555555555555,0.1111111111111111,35,29,120.6896551724138
